command,location_function
open the lights,0
cutt the lights,1
close the lights,1
open lights,0
open light,0
open the light,0
cutt the light,1
close the light,1
open all lights,0
cutt all lights,1
close all lights,1
open the all lights,0
cutt the all lights,1
close the all lights,1
open the all light,0
cutt the all light,1
close the all light,1
open all light,0
cutt all light,1
close all light,1
open the lights at home,0
cutt the lights at home,1
close the lights at home,1
open lights  at home,0
open light  at home,0
open the light at home,0
cutt the light at home,1
close the light at home,1
open all lights at home,0
cutt all lights at home,1
close all lights at home,1
open the all lights at home,0
cutt the all lights at home,1
close the all lights at home,1
open the all light at home,0
cutt the all light at home,1
close the all light at home,1
open all light at home,0
cutt all light at home,1
close all light at home,1
open the lights in home,0
cutt the lights in home,1
close the lights in home,1
open lights in home,0
open light in home,0
open the light in home,0
cutt the light in home,1
close the light in home,1
open all lights in home,0
cutt all lights in home,1
close all lights in home,1
open the all lights in home,0
cutt the all lights in home,1
close the all lights in home,1
open the all light in home,0
cutt the all light in home,1
close the all light in home,1
open all light in home,0
cutt all light in home,1
close all light in home,1
open the lights at the home,0
cutt the lights at the home,1
close the lights at the home,1
open lights at the home,0
open light at the home,0
open the light at the home,0
cutt the light at the home,1
close the light at the home,1
open all lights at the home,0
cutt all lights at the home,1
close all lights at the home,1
open the all lights at the home,0
cutt the all lights at the home,1
close the all lights at the home,1
open the all light at the home,0
cutt the all light at the home,1
close the all light at the home,1
open all light at the home,0
cutt all light at the home,1
close all light at the home,1
open the lights in the home,0
cutt the lights in the home,1
close the lights in the home,1
open lights in the home,0
open light in the home,0
open the light in the home,0
cutt the light in the home,1
close the light in the home,1
open all lights in the home,0
cutt all lights in the home,1
close all lights in the home,1
open the all lights in the home,0
cutt the all lights in the home,1
close the all lights in the home,1
open the all light in the home,0
cutt the all light in the home,1
close the all light in the home,1
open all light in the home,0
cutt all light in the home,1
close all light in the home,1
open the lights of home,0
cutt the lights of home,1
close the lights of home,1
open lights of home,0
open light of home,0
open the light of home,0
cutt the light of home,1
close the light of home,1
open all lights of home,0
cutt all lights of home,1
close all lights of home,1
open the all lights of home,0
cutt the all lights of home,1
close the all lights of home,1
open the all light of home,0
cutt the all light of home,1
close the all light of home,1
open all light of home,0
cutt all light of home,1
close all light of home,1
open the lights the home,0
cutt the lights the home,1
close the lights the home,1
open lights the home,0
open light the home,0
open the light the home,0
cutt the light the home,1
close the light the home,1
open all lights the home,0
cutt all lights the home,1
close all lights the home,1
open the all lights the home,0
cutt the all lights the home,1
close the all lights the home,1
open the all light the home,0
cutt the all light the home,1
close the all light the home,1
open all light the home,0
cutt all light the home,1
close all light the home,1
open the lights home,0
cutt the lights home,1
close the lights home,1
open lights home,0
open light home,0
open the light home,0
cutt the light home,1
close the light home,1
