command;location;function
open the lights;home;open
cutt the lights;home;close
close the lights;home;close
open lights;home;open
open light;home;open
open the light;home;open 
cutt the light;home;close
close the light;home;close
open all lights;home;open
cutt all lights;home;close
close all lights;home;close
open the all lights;home;open
cutt the all lights;home;close
close the all lights;home;close
open the all light;home;open
cutt the all light;home;close
close the all light;home;close
open all light;home;open
cutt all light;home;close
close all light;home;close
open the lights at home;home;open
cutt the lights at home;home;close
close the lights at home;home;close
open lights  at home;home;open
open light  at home;home;open
open the light at home;home;open 
cutt the light at home;home;close
close the light at home;home;close
open all lights at home;home;open
cutt all lights at home;home;close
close all lights at home;home;close
open the all lights at home;home;open
cutt the all lights at home;home;close
close the all lights at home;home;close
open the all light at home;home;open
cutt the all light at home;home;close
close the all light at home;home;close
open all light at home;home;open
cutt all light at home;home;close
close all light at home;home;close
open the lights in home;home;open
cutt the lights in home;home;close
close the lights in home;home;close
open lights in home;home;open
open light in home;home;open
open the light in home;home;open 
cutt the light in home;home;close
close the light in home;home;close
open all lights in home;home;open
cutt all lights in home;home;close
close all lights in home;home;close
open the all lights in home;home;open
cutt the all lights in home;home;close
close the all lights in home;home;close
open the all light in home;home;open
cutt the all light in home;home;close
close the all light in home;home;close
open all light in home;home;open
cutt all light in home;home;close
close all light in home;home;close
open the lights at the home;home;open
cutt the lights at the home;home;close
close the lights at the home;home;close
open lights at the home;home;open
open light at the home;home;open
open the light at the home;home;open 
cutt the light at the home;home;close
close the light at the home;home;close
open all lights at the home;home;open
cutt all lights at the home;home;close
close all lights at the home;home;close
open the all lights at the home;home;open
cutt the all lights at the home;home;close
close the all lights at the home;home;close
open the all light at the home;home;open
cutt the all light at the home;home;close
close the all light at the home;home;close
open all light at the home;home;open
cutt all light at the home;home;close
close all light at the home;home;close
open the lights in the home;home;open
cutt the lights in the home;home;close
close the lights in the home;home;close
open lights in the home;home;open
open light in the home;home;open
open the light in the home;home;open 
cutt the light in the home;home;close
close the light in the home;home;close
open all lights in the home;home;open
cutt all lights in the home;home;close
close all lights in the home;home;close
open the all lights in the home;home;open
cutt the all lights in the home;home;close
close the all lights in the home;home;close
open the all light in the home;home;open
